196	242
186	302
22	377
244	51
166	346
298	474
115	265
253	465
305	451
6	86
62	257
286	1014
200	222
210	40
224	29
303	785
122	387
194	274
291	1042
234	1184
119	392
167	486
299	144
291	118
308	1
95	546
38	95
102	768
63	277
160	234
50	246
301	98
225	193
290	88
97	194
157	274
181	1081
278	603
276	796
7	32
10	16
284	304
201	979
276	564
287	327
246	201
242	1137
249	241
99	4
178	332
251	100
81	432
260	322
25	181
59	196
72	679
87	384
290	143
42	423
292	515
115	20
20	288
201	219
13	526
246	919
138	26
167	232
60	427
57	304
223	274
189	512
243	15
92	1049
246	416
194	165
241	690
178	248
254	1444
293	5
127	229
225	237
299	229
225	480
276	54
291	144
222	366
267	518
42	403
11	111
95	625
8	338
162	25
87	1016
279	154
145	275
119	1153
62	498
62	382
28	209
135	23
32	294
90	382
286	208
293	685
216	144
166	328
250	496
271	132
160	174
265	118
198	498
42	96
168	151
110	307
58	144
90	648
271	346
62	21
279	832
237	514
94	789
128	485
298	317
44	195
264	200
194	385
72	195
222	750
250	264
41	265
224	245
82	135
262	1147
293	471
216	658
250	140
59	23
286	379
244	815
7	479
174	368
87	274
194	1211
82	1134
13	836
13	272
244	756
305	427
95	787
43	14
299	955
57	419
84	405
269	504
299	111
194	466
160	135
99	268
10	486
259	117
85	427
303	919
213	273
121	514
90	98
49	559
42	794
155	323
68	117
172	177
19	4
268	231
5	2
305	117
44	294
43	137
279	1336
80	466
254	164
298	281
279	1240
66	298
18	443
268	1035
99	79
13	98
26	258
7	455
222	755
200	673
119	328
213	172
276	322
94	1217
130	379
38	328
160	719
293	1267
26	930
130	216
92	1079
256	452
1	61
72	48
56	755
13	360
15	405
92	77
207	476
292	174
232	483
251	748
224	26
181	220
259	255
305	471
52	280
161	202
148	408
125	235
97	228
58	1098
83	234
90	347
272	178
194	181
125	478
110	688
299	14
151	10
269	127
6	14
54	106
303	69
16	944
301	790
276	1091
305	214
194	1028
91	323
87	554
294	109
286	171
200	318
229	328
178	568
303	842
62	65
207	591
92	172
301	401
36	339
70	746
63	242
28	201
279	68
250	7
14	98
299	1018
194	54
303	815
119	237
295	218
268	930
268	2
66	258
233	202
83	623
214	334
192	476
100	344
268	145
301	56
307	89
234	141
83	576
181	264
297	133
38	153
7	382
264	813
181	872
201	146
85	507
269	367
59	468
286	143
193	96
113	595
292	11
130	1014
275	98
189	520
219	82
218	209
123	427
119	222
158	177
222	118
302	322
279	501
301	79
181	3
201	695
13	198
1	189
145	237
23	385
201	767
296	705
42	546
33	872
301	554
16	64
95	135
154	357
77	484
296	508
302	303
244	673
222	77
13	215
16	705
270	452
145	15
187	64
200	304
170	749
101	829
184	218
128	204
181	1295
184	153
1	33
1	160
184	321
54	595
94	343
128	508
23	323
301	227
301	191
112	903
82	183
222	724
218	430
308	1197
303	134
133	751
215	212
69	256
254	662
276	2
104	984
63	1067
267	410
13	56
240	879
286	237
294	271
90	1086
18	26
92	229
308	649
144	89
191	302
59	951
200	96
16	197
61	678
271	199
271	709
142	169
275	597
222	151
